V1,V2
MYC,E2F1
MYC,TCF3
E2F1,MYC
E2F1,CTCF
SMAD3,SMAD4
SMAD3,ACVR1
TCF3,MYC
SMAD4,SMAD3
SMAD4,ID1
SMAD4,ACVR1B
SMAD4,AKT1
POU5F1,SOX2
CTCF,MYC
CTCF,E2F1
ID3,ID4
ID4,ID3
SOX2,POU5F1
SOX2,NANOG
SMAD5,ID1
FOXA2,E2F1
FOXA2,MYC
HOXA1,ID4
ID4,POU5F1
ID4,NANOG
ID1,ID3
MYC,FGFR4
MYC,DVL2
MYC,DVL1
SMAD3,AKT1
TCF3,MYF5
SMAD5,SMAD4
SMAD5,ACVR1
SMAD5,BMPR1A
SMAD4,SMAD5
SMAD2,SKIL
POU5F1,SMAD3
POU5F1,ZIC3
POU5F1,ACVR1
MEIS1,SOX2
FOXA2,ID2
CTCF,FZD3
APC,KLF4
ID2,TCF3
MYF5,TCF3
SKIL,SMAD2
KLF4,NANOG
MYCN,BMI1
MYC,STAT3
MYC,SMAD3
MYC,TCF7
MYC,SMAD9
MYC,SMAD2
MYC,MEIS1
MYC,APC
MYC,HOXA1
MYC,ID2
MYC,ID3
MYC,NRAS
MYC,IGF1R
MYC,WNT3
MYC,GSK3B
MYC,ACVR1B
MYC,AXIN2
MYC,MAPK1
MYC,MAPK3
E2F1,FOXA2
E2F1,BMI1
E2F1,CTNNB1
E2F1,IGF1R
E2F1,GSK3B
STAT3,MYC
STAT3,TCF7
STAT3,SMAD4
STAT3,ID3
STAT3,IGF1R
STAT3,WNT3
STAT3,MAPK1
STAT3,MAPK3
SMAD3,MYC
SMAD3,SMAD1
SMAD3,SMAD9
SMAD3,SMAD2
SMAD3,FOXA2
SMAD3,CTCF
SMAD3,SKIL
SMAD3,ACVR1C
SMAD3,DVL1
SMAD3,AXIN1
SMAD3,AXIN2
SMAD3,MAPK1
SMAD3,MAPK3
SMAD1,SMAD3
SMAD1,SMAD5
SMAD1,SMAD4
SMAD1,ID2
SMAD1,ID3
SMAD1,ID4
SMAD1,SKIL
SMAD1,BMPR1B
SMAD1,MAPK3
SMAD1,DUSP9
TCF7,MYC
TCF7,SMAD4
TCF7,CTNNB1
TCF3,SMAD5
TCF3,POU5F1
TCF3,ID2
TCF3,ID3
TCF3,MAPK3
SMAD9,SMAD3
SMAD9,SMAD4
SMAD9,SMAD2
SMAD9,ID2
SMAD9,ID3
SMAD9,ID4
SMAD9,ACVR1
SMAD9,MAPK1
SMAD9,MAPK3
SMAD5,SMAD1
SMAD5,ID2
SMAD5,ID3
SMAD5,ID4
SMAD5,BMPR1B
SMAD5,MAPK3
SMAD5,DUSP9
SMAD4,MYC
SMAD4,SMAD1
SMAD4,TCF7
SMAD4,SMAD9
SMAD4,SMAD2
SMAD4,CTCF
SMAD4,ID2
SMAD4,ID3
SMAD4,ID4
SMAD4,SKIL
SMAD4,NRAS
SMAD4,DVL1
SMAD4,MAPK1
SMAD4,MAPK3
SMAD2,MYC
SMAD2,SMAD3
SMAD2,SMAD9
SMAD2,SMAD4
SMAD2,CTNNB1
SMAD2,ACVR1
SMAD2,ACVR1C
SMAD2,DVL1
SMAD2,ACVR1B
SMAD2,AXIN1
SMAD2,MAPK1
SMAD2,MAPK3
POU5F1,ID2
MEIS1,HOXA1
MEIS1,GSK3B
FOXA2,SMAD3
FOXA2,SMAD9
FOXA2,BMI1
CTCF,SMAD3
CTCF,SMAD4
CTCF,FOXA2
CTCF,SKIL
APC,MYC
APC,GSK3B
APC,AXIN2
APC,SMAD2
CTNNB1,MYC
CTNNB1,TCF7
CTNNB1,SMAD2
CTNNB1,IGF1R
CTNNB1,GSK3B
CTNNB1,DVL1
CTNNB1,AXIN1
CTNNB1,AXIN2
HOXA1,MYC
ID3,TCF3
SKIL,SMAD3
SKIL,SMAD1
SKIL,SMAD4
CTCF,IL6ST
CTCF,WNT4
CTNNB1,PIK3R1
SMAD3,MAPK14
CTNNB1,DVL3
SOX2,ISL1
FOXA2,HOXD1
POU5F1,PAX6
ID3,MYF5
MYF5,ID3
POU5F1,WNT2B
TCF3,FZD6
SMAD9,BMPR1A
POU5F1,BMP4
SOX2,BMP4
CTCF,SOX17
SMAD5,MAPK1
PAX6,ID1
POU5F1,SMAD2
SMAD9,ID1
PAX6,FZD2
TCF3,FGFR4
POU5F1,NANOG
NANOG,POU5F1
MYC,SMARCAD1
E2F1,FZD9
E2F1,PCGF6
FOXA2,GRB2
E2F1,ID3
APC,AKT1
NANOG,POU5F1B
E2F1,SUZ12
CTCF,FGFR4
STAT3,JAK3
MYC,RAF1
POU5F1,DLX5
REST,JAK1
MEIS1,PIK3R1
REST,ZFX
TCF3,INHBB
SMAD4,MAPK13
SMAD9,BMPR1B
FOXA2,WNT2B
TCF3,ID1
ID1,TCF3
MEIS1,HAND1
E2F1,BMPR1A
PAX6,ZIC3
E2F1,MYCN
PAX6,JARID2
MEIS1,ZFHX3
FOXA2,PAX6
REST,ACVR1C
TCF3,HOXA1
HOXA1,TCF3
STAT3,NANOG
