,target,tf
1,LEF1,CCND1
2,TCF7L2,CCND1
3,TCF7L1,CCND1
4,SMAD7,LEF1
5,POU5F1,ZIC3
6,POU5F1,UNC5C
7,POU5F1,SFRP2
8,POU5F1,MDM2
9,POU5F1,LEF1
10,POU5F1,GADD45A
11,POU5F1,DPYSL3
12,POU5F1,DPYSL2
13,POU5F1,CDCA2
14,POU5F1,BMP2
15,LEF1,VIM
16,LEF1,TCF7L1
17,LEF1,LEF1
18,JUND,SLC3A2
19,JUND,SLC1A5
20,JUND,SALL1
21,JUND,PIM2
22,JUND,NEDD4L
23,JUND,HBP1
24,JUND,GATA4
25,JUND,ELL2
26,JUND,CLDN6
27,GATA3,SOX2
28,GATA3,LRIG3
29,GATA3,CDK6
30,CDX1,LEF1
33,ID1,IFI16
34,ID2,ID2
35,ID2,IFI16
36,IFI16,ID1
37,IFI16,ID2
38,LEF1,CCND1
39,LEF1,CDX1
40,LEF1,PITX2
41,LEF1,SOX17
42,MCM3,MCM10
43,MCM3,MCM4
44,MCM3,MCM5
45,MCM3,PLK1
46,MCM4,MCM3
47,MCM4,MCM4
48,MCM5,MCM3
50,PITX2,LEF1
51,PITX2,PITX2
52,POU5F1,SOX2
54,SALL1,TERF1
55,SMAD7,SMAD7
56,SMAD7,SOX5
57,SOX17,LEF1
58,SOX17,TCF7L1
59,SOX17,TCF7L2
60,SOX2,POU5F1
61,SOX5,SMAD7
62,SOX5,SOX5
63,TBX3,TBX3
64,TCF7L1,CCND1
65,TCF7L1,SOX17
66,TCF7L2,CCND1
67,TCF7L2,SOX17
69,TFAP2A,TFAP2A
70,TFAP2A,SMAD7
71,TFAP2A,MEIS2
72,SRF,ZEB1
73,E2F4,MYCN
74,ZEB1,ZIC5
75,ZEB1,SP6
76,ZEB1,SOX2
77,ZEB1,OTX2
78,ZEB1,NFIB
79,ZEB1,IRX3
80,ZEB1,HIF3A
81,ZEB1,ETV5
82,TFAP2A,ZFP62
83,TFAP2A,TERF1
84,TFAP2A,SRF
85,TFAP2A,SP5
86,TFAP2A,SMAD2
87,TFAP2A,RNF138
88,TFAP2A,POU5F1
89,TFAP2A,NFIB
90,TFAP2A,MSX1
91,TFAP2A,KLF10
92,TFAP2A,KAT7
93,TFAP2A,JUND
94,TFAP2A,IRX3
95,TFAP2A,ID1
96,TFAP2A,HBP1
97,TFAP2A,GATA6
98,TFAP2A,FOXH1
99,TFAP2A,ETV5
100,TFAP2A,EOMES
101,TFAP2A,BHLHE40
102,TFAP2A,ARID3A
103,SRF,ZIC3
104,SRF,ZEB2
105,SRF,SRF
106,SRF,SATB1
107,SRF,SALL1
108,SRF,PRDM1
109,SRF,MSX1
110,SRF,LEF1
111,SRF,JUND
112,SRF,ID4
113,SMAD2,PITX2
114,POU5F1,TCF7
115,POU5F1,SMAD2
116,POU5F1,SATB1
117,POU5F1,PRDM1
118,JUND,KAT7
119,JUND,BHLHE40
120,HOXB3,OTX2
121,GATA3,SP6
122,GATA3,ETV1
123,GATA3,BAZ2B
124,E2F4,ZNF516
125,E2F4,ZFX
126,E2F4,ZEB1
127,E2F4,SP6
128,E2F4,SALL1
129,E2F4,OTX2
130,E2F4,KLF10
131,E2F4,ID3
132,E2F4,BCL11A
133,ARID3A,E2F4
134,BHLHE40,BHLHE40
135,E2F4,ARID3A
136,E2F4,SMAD2
137,ELK3,ID2
139,FOXH1,SMAD2
140,GATA3,SATB1
141,GATA4,SRF
142,ID2,ELK3
143,ID3,ID3
144,ID3,ID4
145,ID4,ID3
146,KAT7,ZNF165
147,LEF1,SMAD2
148,MAF,MAF
149,MSX1,MSX1
150,MSX1,MSX2
151,MSX2,MSX1
152,MSX2,MSX2
154,SATB1,GATA3
155,SATB1,SATB1
156,SMAD2,E2F4
157,SMAD2,FOXH1
158,SMAD2,LEF1
159,SMAD2,SMAD2
160,SMAD2,SMAD7
161,SMAD2,ZEB1
162,SMAD2,ZEB2
163,SMAD7,SMAD2
164,SOX17,TCF7
165,SRF,GATA4
166,TCF7,SOX17
167,ZEB1,SMAD2
168,ZEB2,SMAD2
169,ZNF165,KAT7
171,GATA3,GATA3
172,LEF1,SOX2
173,NANOG,POU5F1
174,SOX2,NANOG
175,TBX3,NANOG
176,TCF7L1,SOX2
177,TCF7L2,SOX2
178,GATA3,MAF
179,LEF1,SNAI2
180,TCF7,SNAI2
181,TCF7,SOX2
182,TCF7L1,SNAI2
183,TCF7L2,SNAI2
184,GATA3,TCF7L2
185,GATA3,ZEB1
186,ID4,SOX2
187,MYCN,ID2
188,NANOG,GATA4
189,NANOG,GATA6
190,OTX2,HESX1
191,POU5F1,EOMES
192,POU5F1,GATA6
193,POU5F1,ID2
194,POU5F1,NANOG
195,POU5F1,ZFP42
196,SNAI2,POU5F1
197,TCF7L2,GATA3
198,ZEB1,GRHL2
199,ZEB1,POU5F1
200,ZEB2,POU5F1
201,CDX1,PCNA
202,GATA3,CDH1
203,GATA3,CDH3
204,GATA6,DKK1
205,JUND,CCND1
206,JUND,GADD45A
207,JUND,MDM2
208,KLF6,CCND1
209,KLF6,CDH1
210,MYCN,MCM10
211,MYCN,MCM3
212,MYCN,MCM4
213,MYCN,MCM5
214,MYCN,MDM2
215,NANOG,CCND1
216,NANOG,CDK6
217,NANOG,DKK1
218,NANOG,GDF3
219,NANOG,NODAL
220,NANOG,SEMA6A
221,POU5F1,BMP4
222,POU5F1,DKK1
223,POU5F1,SEMA6A
224,SOX2,BMP4
225,SOX2,CCND1
226,SOX2,DKK1
227,SOX2,SEMA6A
228,SOX2,VIM
